antibody,UMAP1,UMAP2,CohortType,Sample_ID,Cohort,Sample_Type,BF7.WT_EC50.log.,Ancestral.WT_EC50.log.,BF7.RBD_EC50.log.,Ancestral.RBD_EC50.log.,BF7.NTD_EC50.log.,Ancestral.NTD_EC50.log.,Ancestral.S2_EC50.log.,BindingType,BF7_NT50,Ancestral_NT50,manual_assign,manual_main,BF7.WT.Neut,Ancestral.WT.Neut,Neutralizer,cross_epitope
AZD1061,26.00052,-0.667579,,,,,1.39794,-2.538501473,1.39794,1.39794,1.39794,1.39794,1.39794,Ancestral,3724,26.04,D1,D1,0.692628683,0.999647246,Cross,Other
BD55-5514,29.596542,1.3342122,,,,,-2.880414225,-2.70289635,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,71,44.96,F3,A/B/C/F3,0.997434145,0.999971869,Cross,Other
BD56-1854,28.403126,1.1198426,,,,,-2.56193255,-2.598254918,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,131.5,42.99,A,A/B/C/F3,1.000301996,1.000369902,Cross,Other
BD57-1271,28.73234,2.5244207,,,,,-2.387852162,-2.528708289,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,1105,484.9,F1,F1,0.920823087,0.999377781,Cross,Other
BD57-1303,28.645191,-1.564342,,,,,-1.958212681,-2.520280765,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,5963,1598,E2,E,0.679427706,0.631399175,Cross,Other
BRII-196,31.138361,3.2266157,,,,,-0.966576245,-2.656985503,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,359.7,75.82,A,A/B/C/F3,0.775794502,0.990196431,Cross,Other
BRII-198,27.91046,-0.108313724,,,,,1.39794,-2.685922008,1.39794,1.39794,1.39794,1.39794,1.39794,Ancestral,493.4,1202,E2,E,0.693205187,0.70288059,Cross,Other
GN062_Ab851,28.072834,1.881143,HVI,H022-1,H,V+I,-2.322210609,-2.366733589,-1.813043665,-1.845271793,1.39794,1.39794,1.39794,Cross,10000,10000,F1,F1,0.091829008,0.139771183,Non-Neutralizer,Cross
GN062_Ab859,28.762646,0.65312284,HVI,H022-1,H,V+I,-2.662141571,-2.363010898,-1.946921557,-1.854182286,1.39794,1.39794,1.39794,Cross,10000,10000,E3,E,0.58184377,0.489051793,Non-Neutralizer,Cross
GN062_Ab890,28.729855,-0.42788717,HVI,H022-1,H,V+I,-2.392116256,-2.264960295,-1.765229705,-1.640733835,0.740046724,1.39794,1.39794,Cross,10000,10000,E2,E,0.295756333,0.288905006,Non-Neutralizer,Cross
GN062_Ab903,26.226591,3.87549,HVI,H022-1,H,V+I,-2.00665196,-2.318668294,-1.890759031,-2.074223946,1.39794,1.39794,1.39794,Cross,10000,480.6,F2,F2,0.001959634,0.810311255,Ancestral,Other
REGN10987,25.623446,-1.7795388,,,,,-1.57888987,-2.764976841,1.39794,1.39794,1.39794,1.39794,1.39794,Cross,532.9,95.74,D2,D2,0.889645358,0.975509831,Cross,Other
WYY060_Ab15,26.831615,-0.6354557,SLEVI,R022-1,SLE,V+I,-2.611366031,0.80106053,-2.210419288,0.789439685,1.39794,1.39794,1.39794,BF.7,68.89,10000,D2,D2,0.998401998,0.214121101,BF.7,BF.7
WYY060_Ab41,30.362268,-0.16868132,HI,H052-1,H,I,-3.012736046,-3.42945706,-2.545460015,-2.535659515,1.39794,1.39794,1.39794,Cross,10000,10000,E3,E,-0.293993561,0.023695552,Non-Neutralizer,Cross
WYY060_Ab48,30.568121,1.5502993,SLEVI,R022-1,SLE,V+I,-3.0951763,1.39794,-2.69572495,1.39794,1.39794,1.39794,1.39794,BF.7,24.9,10000,F3,A/B/C/F3,0.987100547,-0.367168259,BF.7,BF.7
WYY060_Ab49,24.865992,-2.357589,SLEVI,R022-1,SLE,V+I,-2.371815492,1.39794,-1.990549104,1.39794,1.39794,1.39794,1.39794,BF.7,25.8,10000,D2,D2,0.98181596,-0.145838422,BF.7,BF.7
WYY067_Ab109,24.926271,-1.6712115,SLEVI,R024-1,SLE,V+I,-1.735182177,1.39794,-1.245345931,1.39794,1.39794,1.39794,1.39794,BF.7,10000,10000,D2,D2,0.776982593,-0.14518596,Non-Neutralizer,BF.7
WYY067_Ab112,24.303802,-1.4459093,SLEVI,R024-1,SLE,V+I,-2.009350412,0.622731965,-1.554240164,1.39794,1.39794,1.39794,0.644930708,BF.7,6005,10000,D1,D1,0.715993252,0.085461743,BF.7,Other
WYY067_Ab145,26.770918,0.6326288,SLEVI,R014-1,SLE,V+I,-2.506541949,1.39794,-2.284748971,1.39794,1.39794,1.39794,1.39794,BF.7,74.59,10000,C,A/B/C/F3,0.954841094,-0.416073603,BF.7,BF.7
WYY085_Ab244,28.905914,1.5914961,SLEVI,R014-1,SLE,V+I,-2.397831449,-2.277942229,-2.11429962,-2.185885644,1.39794,1.39794,1.39794,Cross,5883,10000,E3,E,0.320628256,0.533222831,BF.7,Cross
WYY085_Ab245,30.33791,3.1791723,SLEVI,R014-1,SLE,V+I,-2.104909103,-2.478861916,-2.185153331,-2.33761998,1.39794,1.39794,1.39794,Cross,2817,16.84,A,A/B/C/F3,0.616031804,0.996928545,Cross,Other
WYY085_Ab250,27.188856,4.209869,SLEVI,R014-1,SLE,V+I,-2.236122969,1.39794,-2.145086978,1.39794,1.39794,1.39794,1.39794,BF.7,10000,10000,F2,F2,0.012702547,-0.029833558,Non-Neutralizer,BF.7
WYY085_Ab253,28.183243,-1.0616379,SLEVI,R014-1,SLE,V+I,-2.023100049,-2.496073196,-1.43062609,-3.067475503,1.39794,1.39794,1.39794,Cross,10000,10000,E2,E,0.120350838,0.169718134,Non-Neutralizer,Cross
WYY085_Ab257,26.640722,4.9695005,SLEVI,R014-1,SLE,V+I,-1.839231438,0.29380436,-1.064996849,1.39794,1.39794,1.39794,-0.499351937,BF.7,10000,10000,F2,F2,0.002496656,-0.273033908,Non-Neutralizer,BF.7
WYY085_Ab292,31.181114,2.29086,HVI,H014-1,H,V+I,-2.019360433,-2.376337293,-1.927015255,-2.603277721,1.39794,1.39794,1.39794,Cross,1741,144.9,A,A/B/C/F3,0.883530035,0.856950982,Cross,Other
WYY085_Ab295,29.623297,-1.7651637,HI,H056-1,H,I,-2.257117829,-2.392544977,-2.329846955,-2.26816958,1.39794,1.39794,1.39794,Cross,10000,10000,E2,E,-0.354777501,-0.007834997,Non-Neutralizer,Cross
WYY085_Ab300,26.657425,3.6292527,HI,H056-1,H,I,-2.505288975,1.39794,-2.089962876,1.39794,1.39794,1.39794,1.39794,BF.7,712.3,10000,F2,F2,0.985526564,0.357394116,BF.7,BF.7
WYY085_Ab302,30.333656,-1.9327034,HI,H056-1,H,I,-2.165070904,-2.244201343,-2.041531682,-2.26816958,1.39794,1.39794,1.39794,Cross,10000,10000,E2,E,0.345363541,0.390178246,Non-Neutralizer,Cross
WYY085_Ab309,25.320108,0.038037002,HVI,H014-1,H,V+I,1.39794,-2.501413791,1.39794,-2.206488994,1.39794,1.39794,1.39794,Ancestral,10000,10000,D1,D1,-0.138600379,0.337154082,Non-Neutralizer,Other
WYY087_Ab351,25.396183,-0.92985713,HVI,H021-1,H,V+I,-0.559563234,-2.044600913,-0.144965683,-2.261060969,1.39794,1.39794,1.39794,Ancestral,10000,10000,D1,D1,0.198916597,0.440216598,Non-Neutralizer,Other
WYY087_Ab353,26.75118,2.3446476,HVI,H021-1,H,V+I,-2.393081474,-2.498393078,-2.142667504,-2.240332155,0.959518377,0.737113094,0.888572597,Cross,10000,10000,F2,F2,0.282187511,0.461216571,Non-Neutralizer,Other
WYY087_Ab359,27.230736,3.102103,HI,H064-1,H,I,-2.383314479,0.644930708,-2.302247726,0.850339855,1.39794,1.39794,1.39794,BF.7,10000,10000,F2,F2,0.333859681,0.124926357,Non-Neutralizer,BF.7
WYY087_Ab366,30.387976,2.515111,HI,H064-1,H,I,-2.291324207,0.365113432,-2.579879152,0.898615497,1.39794,1.39794,1.39794,BF.7,467.4,10000,A,A/B/C/F3,0.98450413,-0.262553832,BF.7,BF.7
WYY087_Ab385,24.420008,-0.46461695,SLEI,R005-1,SLE,I,-1.448672012,1.39794,-0.641113796,1.39794,1.39794,1.39794,1.39794,BF.7,10000,10000,D1,D1,0.53179375,-0.051293846,Non-Neutralizer,Other
WYY087_Ab402,28.883322,-1.9095412,HVI,H027-1,H,V+I,-1.86518563,-2.124707175,-2.06363708,-2.115657852,1.39794,1.39794,1.39794,Cross,10000,10000,E2,E,0.100052991,0.421050209,Non-Neutralizer,Cross
WYY087_Ab407,29.858356,0.13374123,HVI,H021-1,H,V+I,-2.38101108,-2.545917729,-2.621965678,-2.536554968,1.39794,1.39794,1.39794,Cross,10000,10000,E3,E,0.176401504,0.371322037,Non-Neutralizer,Cross
WYY087_Ab408,27.264128,1.291472,HVI,H021-1,H,V+I,-2.814741235,0.492201451,-2.594995335,1.100370545,1.39794,1.39794,1.39794,BF.7,1021,10000,B,A/B/C/F3,0.89113142,-0.18451253,BF.7,BF.7
WYY087_Ab424,29.703238,2.1082292,HI,H064-1,H,I,-2.497163361,1.39794,-2.300595918,1.39794,1.39794,1.39794,1.39794,BF.7,145.2,10000,A,A/B/C/F3,0.939171751,0.036950525,BF.7,BF.7
WYY087_Ab436,29.624254,-2.287709,HI,H064-1,H,I,-2.664141089,-2.754487332,-2.674484337,-2.796423225,1.39794,1.39794,1.39794,Cross,10000,10000,E2,E,0.145043846,0.16757794,Non-Neutralizer,Cross
WYY087_Ab472,28.424185,3.0076644,HVI,H027-1,H,V+I,-2.392009141,-2.521289244,-2.253833036,-2.269944848,1.39794,1.39794,1.39794,Cross,10000,10000,F1,F1,0.211289652,0.251349812,Non-Neutralizer,Cross
WYY087_Ab687,25.814474,4.412762,HVI,H055-1,H,V+I,-2.453087357,0.04060234,-2.76421913,0.741860394,1.39794,1.39794,1.39794,BF.7,1292,10000,F2,F2,0.653594791,-0.741466698,BF.7,BF.7
WYY087_Ab732,26.255121,-1.4523617,HVI,H021-1,H,V+I,-2.92190585,-2.985899678,-2.063989204,-2.395449967,1.39794,1.39794,1.39794,Cross,10000,10000,D1,D1,-0.668448746,0.296282552,Non-Neutralizer,Other
WYY087_Ab737,27.90423,2.5868547,HVI,H021-1,H,V+I,-2.381428972,-2.274741934,-1.983384452,-2.111090741,1.39794,0.50174373,1.39794,Cross,10000,10000,F1,F1,0.31328074,0.297530475,Non-Neutralizer,Cross
WYY087_Ab751,28.694115,3.7258348,HVI,H027-1,H,V+I,-2.397940009,-2.600845666,-2.377268035,-2.513711239,0.943593433,1.39794,1.39794,Cross,10000,10000,F1,F1,0.219301203,-0.151060197,Non-Neutralizer,Cross
WYY087_Ab769,29.914505,-1.0019927,HVI,H027-1,H,V+I,-2.829738285,-2.693360559,-2.334888263,-2.441051554,1.39794,1.39794,1.39794,Cross,4168,2027,E2,E,0.59792859,0.556060156,Cross,Cross
WYY087_Ab787,29.407223,-0.16887403,HI,H049-1,H,I,-2.37788964,-2.60119227,-2.266963317,-2.457921854,1.39794,1.39794,1.39794,Cross,10000,10000,E3,E,-0.239955268,0.216959684,Non-Neutralizer,Cross
WYY087_Ab836,27.61623,4.445541,HI,H056-1,H,I,-2.966174306,1.39794,-2.254769015,1.39794,1.39794,1.39794,1.39794,BF.7,1995,10000,F2,F2,0.540332782,0.202627849,BF.7,BF.7
WYY087_Ab846,27.712408,0.79549694,HI,H064-1,H,I,-2.642636969,1.39794,-2.270430274,1.39794,1.39794,1.39794,1.39794,BF.7,10.98,10000,B,A/B/C/F3,0.967063629,0.058282468,BF.7,BF.7
